Tail_Number,count,Tail_Number_Grupo
N955AT,6770,3
N784SK,6767,3
N643AE,6761,3
N642AE,6759,3
N998AT,6754,3
N893AT,6754,3
N280SY,6754,3
N281JB,6748,3
N948AT,6747,3
N629AE,6746,3
N400WN,6746,3
N208JQ,6744,3
N712PS,6742,3
N8575Z,6741,3
N722YX,6740,3
N701BR,6740,3
N7827A,6736,3
N961SW,6735,3
N795SK,6734,3
N645AE,6734,3
N198SY,6733,3
N947AT,6733,3
N655AE,6731,3
N634QX,6724,3
N272PQ,6723,3
N300PQ,6722,3
N299PQ,6721,3
N8571Z,6721,3
N710PS,6719,3
N560WN,6718,3
N618AE,6712,3
N939SW,6712,3
N780SK,6707,3
N7869A,6704,3
N8574Z,6702,3
N608AT,6701,3
N286SY,6700,3
N8577Z,6699,3
N204JQ,6695,3
N835AY,6691,3
N709PS,6687,3
N930SW,6686,3
N943SW,6685,3
N518AE,6685,3
N505AE,6683,3
N631QX,6681,3
N635RW,6679,3
N8686A,6679,3
N635QX,6676,3
N611AE,6676,3
N635AE,6674,3
N971AT,6669,3
N8936A,6667,3
N207WN,6666,3
N945SW,6664,3
N7813P,6662,3
N779SK,6660,3
N7750A,6659,3
N799SW,6659,3
N946AT,6657,3
N441QX,6655,3
N632NK,6654,3
N203JQ,6653,3
N336PQ,6651,3
N294PQ,6650,3
N268SY,6647,3
N287SY,6645,3
N922EV,6643,3
N305PQ,6643,3
N832AY,6642,3
N642RW,6642,3
N790SK,6639,3
N274SY,6638,3
N545PB,6636,3
N8576Z,6635,3
N108HQ,6635,3
N7832A,6633,3
N639RW,6632,3
N292PQ,6631,3
N8579Z,6629,3
N7831B,6628,3
N498CA,6624,3
N951AT,6622,3
N820AY,6619,3
N214JQ,6618,3
N7812G,6618,3
N865RW,6617,3
N403SY,6616,3
N647RW,6616,3
N267SY,6613,3
N270SY,6613,3
N131SY,6611,3
N295PQ,6611,3
N293PQ,6609,3
N703PS,6609,3
N834AY,6606,3
N136SY,6600,3
N349PQ,6598,3
N650NK,6596,3
N862RW,6592,3
N652NK,6592,3
N339JB,6591,3
N634AE,6590,3
N791SK,6588,3
N8578Q,6587,3
N693BR,6587,3
N652RW,6586,3
N631AE,6585,3
N526EA,6584,3
N558WN,6583,3
N288SY,6580,3
N8573Z,6576,3
N653RW,6576,3
N341PQ,6575,3
N471CA,6574,3
N206JQ,6573,3
N296PQ,6571,3
N921EV,6569,3
N298PQ,6567,3
N337PQ,6566,3
N800AY,6565,3
N425AW,6561,3
N465SW,6559,3
N607AS,6556,3
N496CA,6554,3
N202JQ,6553,3
N640RW,6553,3
N346JB,6552,3
N919EV,6550,3
N638RW,6550,3
N201JQ,6550,3
N102HQ,6549,3
N281SY,6549,3
N515AE,6548,3
N645RW,6547,3
N537EA,6547,3
N840AY,6546,3
N8894A,6546,3
N638AE,6545,3
N285SY,6544,3
N631NK,6543,3
N513AE,6540,3
N905EV,6539,3
N113HQ,6538,3
N8580Z,6537,3
N859RW,6535,3
N631RW,6534,3
N348PQ,6531,3
N801AY,6530,3
N654RW,6530,3
N582CA,6529,3
N655RW,6529,3
N246SY,6528,3
N358JB,6528,3
N115HQ,6526,3
N634RW,6526,3
N819AY,6525,3
N649NK,6525,3
N629NK,6525,3
N8839E,6524,3
N303PQ,6524,3
N650RW,6523,3
N909SW,6522,3
N439SW,6521,3
N135HQ,6520,3
N657RW,6520,3
N637NK,6519,3
N615AE,6514,3
N980EV,6513,3
N156SY,6512,3
N612AE,6512,3
N649RW,6511,3
N290SY,6511,3
N8694A,6511,3
N330PQ,6511,3
N120HQ,6510,3
N213JQ,6510,3
N699BR,6510,3
N208SY,6508,3
N445SW,6508,3
N633QX,6507,3
N643RW,6507,3
N642NK,6507,3
N284SY,6506,3
N861RW,6503,3
N650AE,6503,3
N301PQ,6501,3
N632QX,6501,3
N294JB,6497,3
N464AW,6497,3
N647NK,6497,3
N138HQ,6495,3
N723PS,6495,3
N718PS,6493,3
N658AE,6489,3
N125SY,6489,3
N8327A,6483,3
N128HQ,6482,3
N210JQ,6481,3
N8581Z,6476,3
N427QX,6474,3
N625NK,6474,3
N162SY,6474,3
N502AE,6473,3
N725PS,6473,3
N945AT,6472,3
N151SY,6471,3
N8322X,6470,3
N633NK,6470,3
N206SY,6470,3
N187JB,6469,3
251NV,6468,3
N630NK,6468,3
N125HQ,6467,3
N119SY,6462,3
N239JB,6461,3
N646RW,6458,3
N858RW,6456,3
N107HQ,6456,3
N965SW,6455,3
N635NK,6454,3
N639NK,6453,3
N106HQ,6451,3
N648RW,6451,3
N489WN,6450,3
N130SY,6446,3
N209SY,6444,3
N334JB,6443,3
N207SY,6442,3
N204SY,6441,3
N468AW,6440,3
N8918B,6440,3
N200SY,6440,3
N211JQ,6439,3
N923XJ,6437,3
N165SY,6437,3
N927EV,6434,3
N110HQ,6434,3
N331PQ,6433,3
N216JQ,6432,3
N315PQ,6431,3
N8908D,6429,3
N638NK,6429,3
N135SY,6428,3
N461SW,6427,3
N272SY,6421,3
N335PQ,6419,3
N656RW,6419,3
N651RW,6419,3
N624NK,6418,3
N628NK,6416,3
N166SY,6414,3
N659AE,6414,3
N202SY,6413,3
N606AE,6412,3
N133HQ,6412,3
N109HQ,6411,3
N215JQ,6408,3
N164SY,6408,3
N645NK,6407,3
N743SK,6406,3
N157SY,6406,3
N7873A,6404,3
N833AY,6403,3
N8311Q,6403,3
N653NK,6399,3
N864RW,6399,3
N324PQ,6399,3
N307JB,6396,3
N160SY,6395,3
N686BR,6395,3
N651NK,6395,3
N291SY,6393,3
N532EA,6393,3
N644RW,6393,3
N936EV,6392,3
N630AE,6391,3
N181PQ,6391,3
N104HQ,6391,3
N211SY,6391,3
N789SK,6386,3
N152SY,6386,3
N374JB,6385,3
N517AE,6384,3
N752SK,6381,3
N912EV,6381,3
N129HQ,6381,3
N836AY,6380,3
N863RW,6378,3
N134SY,6376,3
N491WN,6376,3
N138SY,6375,3
N8320J,6374,3
N126HQ,6372,3
N163SY,6371,3
N133SY,6371,3
N8656B,6370,3
N8307K,6369,3
N8326F,6368,3
N116HQ,6367,3
N304PQ,6367,3
N636RW,6367,3
N561WN,6367,3
N503AE,6367,3
N311PQ,6366,3
N203SY,6365,3
N103HQ,6364,3
N856RW,6363,3
N792SK,6363,3
N168SY,6362,3
N855RW,6362,3
N279PQ,6361,3
N648NK,6360,3
N307PQ,6360,3
N161SY,6358,3
N154SY,6357,3
N928XJ,6356,3
N617NK,6356,3
N212JQ,6355,3
N708PS,6353,3
N979RP,6353,3
N512AE,6353,3
N205SY,6352,3
N621AE,6348,3
N924EV,6347,3
N179JB,6345,3
N318FR,6344,3
N316PQ,6343,3
N117SY,6342,3
N351JB,6341,3
N8309C,6340,3
N146SY,6339,3
N145SY,6337,3
N8869B,6336,3
N701SK,6336,3
N119HQ,6336,3
N146PQ,6336,3
N720PS,6336,3
N289SY,6333,3
N643NK,6333,3
N8313F,6332,3
253NV,6331,3
N292SY,6329,3
N323FR,6327,3
N184JB,6327,3
N316FR,6327,3
N149SY,6325,3
N8877A,6324,3
N719PS,6323,3
N621NK,6322,3
N796SK,6321,3
N123HQ,6320,3
N8329B,6320,3
N965AT,6319,3
N106SY,6319,3
N120SY,6319,3
N926XJ,6318,3
N626NK,6317,3
N632RW,6316,3
N144SY,6315,3
N623NK,6313,3
N8306H,6312,3
N167SY,6311,3
N446SW,6310,3
N110SY,6310,3
N205JQ,6309,3
N611NK,6308,3
N442SW,6308,3
N8308K,6308,3
N142SY,6307,3
N114HQ,6307,3
N108SY,6306,3
N636AE,6304,3
N457AW,6304,3
N140SY,6303,3
N542EA,6301,3
N797SK,6298,3
N258JB,6295,3
N8582Z,6295,3
N7860A,6294,3
N131HQ,6294,3
N166PQ,6293,3
N105HQ,6292,3
N8324A,6292,3
N712SK,6291,3
N8305E,6290,3
N122SY,6290,3
N616NK,6289,3
N646NK,6288,3
N324FR,6288,3
N644NK,6287,3
248NV,6287,3
N633RW,6285,3
N910EV,6285,3
N8310C,6283,3
N8584Z,6283,3
N641RW,6283,3
N530EA,6283,3
N127SY,6283,3
N636NK,6280,3
N679SA,6277,3
N113SY,6277,3
N528EG,6276,3
N531EG,6276,3
N706PS,6275,3
N153PQ,6274,3
N139SY,6274,3
N619NK,6274,3
N116SY,6273,3
N236FR,6273,3
N636QX,6273,3
N622NK,6272,3
N8325D,6270,3
N917EV,6268,3
N634NK,6268,3
N353JB,6267,3
N118SY,6265,3
N8321D,6265,3
N14162,6264,3
N121HQ,6261,3
N137HQ,6260,3
N459SW,6260,3
N235FR,6259,3
N448SW,6258,3
N609NK,6255,3
N310FR,6255,3
